segment_id,segment_name,campaign_family,campaign_intent,rfm_segment,data_usage_segment,voice_usage_segment,data_usage_trend,voice_usage_trend,opportunity,nbo_action,customer_signal,customer_meaning,subs_count,arpu_avg_or,arpu_min_or,arpu_max_or,total_revenue_or,data_revenue_or,voice_revenue_or,recharges_per_month_avg,recharge_amount_avg_or,recharge_frequency_days,avg_data_gb,avg_voice_min,churn_risk_score,activity_score,inactive_days,tenure_months_avg,current_pack_type,offer_affinity,business_context,customer_count,avg_arpu
Seg-4852,Champions — Silent (Retention),retention,reduce_churn,Champions,Zero,Zero,Declining,Declining,Retention,Heavy win-back,Total Drop,Completely inactive,16270,3.56,1.49,8.45,57921.2,28960.6,28960.6,1.03,3.79,29,0.0,0,0.49,0.57,80,12,inactive,reactivation_bonus|starter_pack,prepaid,16270,3.56
Seg-10879,Potential Loyalist — Voice Heavy (Retention),retention,reduce_churn,Potential Loyalist,Zero,high,Declining,Declining,Retention,Offer discounted combo plan,Voice declining,Data absent,49544,4.64,2.41,9.44,229884.16,22988.42,206895.74,0.86,5.22,35,0.0,240,0.32,0.69,8,47,voice_heavy,voice_pack|cross_sell_addon,prepaid,49544,4.64
Seg-10781,Potential Loyalist — ZeroD-LowV (Retention),retention,reduce_churn,Potential Loyalist,Zero,low,Declining,Declining,Retention,Offer free recharge benefit,Usage declining,User disengaging,60678,2.57,1.09,5.87,155942.46,15594.25,140348.21,1.07,2.63,28,0.0,46,0.33,0.73,7,40,monthly_combo,combo_pack|retention_pack,prepaid,60678,2.57
Seg-10830,Potential Loyalist — ZeroD-MediumV (Retention),retention,reduce_churn,Potential Loyalist,Zero,medium,Declining,Declining,Retention,Offer low-cost combo pack,Voice declining,Data missing,50044,2.28,1.22,5.89,114100.32,11410.03,102690.29,0.88,2.68,34,0.0,110,0.35,0.68,8,48,monthly_combo,combo_pack|retention_pack,prepaid,50044,2.28
Seg-10928,Potential Loyalist — Voice Heavy (Retention),retention,reduce_churn,Potential Loyalist,Zero,very_high,Declining,Declining,Retention,Offer voice+data combo at discount,Voice declining,Data absent,60109,7.07,2.89,21.05,424970.63,42497.06,382473.57,0.97,7.68,31,0.0,319,0.35,0.69,4,73,voice_heavy,voice_pack|cross_sell_addon,prepaid,60109,7.07
Seg-4656,Champions — ZeroD-LowV (Retention),retention,reduce_churn,Champions,Zero,low,Declining,Declining,Retention,Strong win-back,Usage Collapse,High value user dropping,17813,3.84,1.81,12.18,68401.92,6840.19,61561.73,1.11,3.26,27,0.0,43,0.22,0.85,7,71,monthly_combo,combo_pack|retention_pack,prepaid,17813,3.84
Seg-9997,Potential Loyalist — LowD-ZeroV (Retention),retention,reduce_churn,Potential Loyalist,low,Zero,Declining,Declining,Retention,Offer low-cost data booster,Usage declining across services,User disengaging fast,50875,2.22,1.08,6.28,112942.5,101648.25,11294.25,1.03,2.21,29,2.84,0,0.35,0.73,6,43,monthly_combo,combo_pack|retention_pack,prepaid,50875,2.22
Seg-9801,Potential Loyalist — LowD-LowV (Retention),retention,reduce_churn,Potential Loyalist,low,low,Declining,Declining,Retention,Win-back low price pack,Overall usage declining,User highly disengaged,61451,2.41,1.25,4.56,148096.91,81453.3,66643.61,0.86,3.03,35,3.25,44,0.26,0.73,5,9,monthly_combo,combo_pack|retention_pack,prepaid,61451,2.41
Seg-4362,Champions — Data Heavy (Retention),retention,reduce_churn,Champions,high,Zero,Declining,Declining,Retention,Priority retention,Data Premium Declining,High data user declining,19401,11.03,4.72,35.18,213993.03,192593.73,21399.3,1.03,9.75,29,13.62,0,0.23,0.76,3,19,data_heavy,data_addon|ott_bundle,prepaid,19401,11.03
Seg-4264,Champions — Premium Dual (Retention),retention,reduce_churn,Champions,high,high,Declining,Declining,Retention,Priority retention,Balanced Decline,High value declining,20569,16.13,5.93,33.47,331777.97,182477.88,149300.09,1.11,13.12,27,12.89,192,0.07,0.93,4,42,premium_combo,ott_bundle|loyalty_pack,prepaid,20569,16.13
Seg-4166,Champions — Data Heavy (Retention),retention,reduce_churn,Champions,high,low,Declining,Declining,Retention,Priority retention,Data User Declining,High data user declining,19940,12.31,6.03,24.2,245461.4,207698.11,37763.29,1.03,12.96,29,13.97,41,0.1,0.94,3,49,data_heavy,data_addon|ott_bundle,prepaid,19940,12.31
Seg-4215,Champions — HighD-MediumV (Retention),retention,reduce_churn,Champions,high,medium,Declining,Declining,Retention,Priority retention,Balanced Decline,High value declining,21297,13.41,4.78,28.86,285592.77,196345.03,89247.74,0.94,13.97,32,13.83,130,0.06,0.92,6,72,monthly_combo,combo_pack|retention_pack,prepaid,21297,13.41
Seg-4313,Champions — Premium Dual (Retention),retention,reduce_churn,Champions,high,very_high,Declining,Declining,Retention,Priority retention,Premium Declining,High value declining,16873,20.81,9.37,63.78,351127.13,154495.94,196631.19,1.2,17.77,25,13.84,320,0.05,0.94,8,38,premium_combo,ott_bundle|loyalty_pack,prepaid,16873,20.81
Seg-3872,Champions — LowD-ZeroV (Retention),retention,reduce_churn,Champions,low,Zero,Declining,Declining,Retention,Urgent win-back,Silent Decline,High value disengaging,20331,3.55,1.58,10.37,72175.05,64957.55,7217.5,1.11,3.17,27,3.28,0,0.23,0.81,5,8,monthly_combo,combo_pack|retention_pack,prepaid,20331,3.55
Seg-3774,Champions — Voice Heavy (Retention),retention,reduce_churn,Champions,low,high,Declining,Declining,Retention,Targeted retention,Voice Heavy Decline,High value dropping,14677,8.84,4.82,25.79,129744.68,27712.46,102032.22,1.07,7.69,28,3.01,217,0.09,0.91,2,26,voice_heavy,voice_pack|cross_sell_addon,prepaid,14677,8.84
Seg-10977,Potential Loyalist — Silent (Reactivation),reactivation,reactivate_inactive,Potential Loyalist,Zero,Zero,Declining,Declining,Reactivation,Aggressive win-back offer,Fully declining user,Completely disengaged,44488,2.55,0.92,6.57,113444.4,56722.2,56722.2,0.94,2.48,32,0.0,0,0.56,0.54,46,8,inactive,reactivation_bonus|starter_pack,prepaid,44488,2.55
Seg-7549,Lost — LowD-ZeroV (Reactivation),reactivation,reactivate_inactive,Lost,low,Zero,Declining,Early Recovery,Reactivation,Voice-first comeback,Voice Awakening Data Lost,Voice begins recovery while data falls,5992,0.54,0.28,1.36,3235.68,2912.11,323.57,0.3,1.85,101,3.46,0,0.98,0.13,60,27,monthly_combo,combo_pack|retention_pack,prepaid,5992,0.54
Seg-8529,Lost — Silent (Reactivation),reactivation,reactivate_inactive,Lost,Zero,Zero,Declining,Early Recovery,Reactivation,Starter data comeback pack,Data Reawakening Lost,Data shows early return but voice absent,5184,0.54,0.21,1.62,2799.36,1399.68,1399.68,0.26,1.72,114,0.0,0,0.98,0.2,56,45,inactive,reactivation_bonus|starter_pack,prepaid,5184,0.54
Seg-8431,Lost — Voice Heavy (Reactivation),reactivation,reactivate_inactive,Lost,Zero,high,Declining,Early Recovery,Reactivation,High voice comeback plan,High Voice Early Return,Voice shows comeback despite zero data,6206,0.96,0.35,2.73,5957.76,595.78,5361.98,0.29,3.36,105,0.0,207,0.98,0.18,50,29,voice_heavy,voice_pack|cross_sell_addon,prepaid,6206,0.96
Seg-8333,Lost — ZeroD-LowV (Reactivation),reactivation,reactivate_inactive,Lost,Zero,low,Declining,Early Recovery,Reactivation,Low voice comeback pack,Voice Reawakening Lost,Voice shows early comeback despite data loss,5256,0.55,0.22,1.68,2890.8,289.08,2601.72,0.26,1.7,114,0.0,50,0.98,0.12,34,38,monthly_combo,combo_pack|retention_pack,prepaid,5256,0.55
Seg-8382,Lost — ZeroD-MediumV (Reactivation),reactivation,reactivate_inactive,Lost,Zero,medium,Declining,Early Recovery,Reactivation,Voice comeback starter,Voice Early Return Lost,Voice shows comeback despite no data,5632,0.5,0.22,1.21,2816.0,281.6,2534.4,0.29,1.63,102,0.0,123,0.98,0.12,67,52,monthly_combo,combo_pack|retention_pack,prepaid,5632,0.5
Seg-8480,Lost — Voice Heavy (Reactivation),reactivation,reactivate_inactive,Lost,Zero,very_high,Declining,Early Recovery,Reactivation,VIP voice comeback,Ultra Voice Early Return,Very high voice begins comeback despite no data,6395,1.53,0.64,3.92,9784.35,978.44,8805.91,0.31,5.32,97,0.0,317,0.98,0.14,29,30,voice_heavy,voice_pack|cross_sell_addon,prepaid,6395,1.53
Seg-7353,Lost — LowD-LowV (Reactivation),reactivation,reactivate_inactive,Lost,low,low,Declining,Early Recovery,Reactivation,Voice-first retention,Voice Recovery with Data Decline,Voice improving while data weakens,7190,0.58,0.21,1.07,4170.2,2293.61,1876.59,0.28,1.75,109,3.28,45,0.98,0.17,34,42,monthly_combo,combo_pack|retention_pack,prepaid,7190,0.58
Seg-1182,About to Sleep — Silent (Aggressive Win-Back),reactivation,reactivate_inactive,About to Sleep,Zero,Zero,Declining,Rapid Expansion,Aggressive Win-Back,Shock comeback offer,Sudden Wake-Up Burst,Previously sleeping customer rapidly reactivating,12340,1.45,0.64,3.05,17893.0,8946.5,8946.5,0.51,2.77,59,0.0,0,0.98,0.18,87,22,inactive,reactivation_bonus|starter_pack,prepaid,12340,1.45
Seg-1084,About to Sleep — Voice Heavy (Aggressive Win-Back),reactivation,reactivate_inactive,About to Sleep,Zero,high,Declining,Rapid Expansion,Aggressive Win-Back,Voice turbo relaunch,Rapid High Voice Return,Sudden surge in voice reactivation,9580,2.45,0.93,7.47,23471.0,2347.1,21123.9,0.59,4.53,51,0.0,189,0.91,0.18,42,6,voice_heavy,voice_pack|cross_sell_addon,prepaid,9580,2.45
Seg-4757,Champions — Voice Heavy (Upsell),upsell,increase_arpu,Champions,Zero,high,Declining,Strong Growth,Upsell,Data starter pack,Voice Growth,Active calling,22119,9.37,3.4,18.79,207255.03,20725.5,186529.53,1.11,8.49,27,0.0,231,0.21,0.8,5,81,voice_heavy,voice_pack|cross_sell_addon,prepaid,22119,9.37
Seg-4806,Champions — Voice Heavy (Upsell),upsell,increase_arpu,Champions,Zero,very_high,Declining,Strong Growth,Upsell,Data starter pack,Voice Growth,High engagement,22773,13.36,4.76,38.59,304247.28,30424.73,273822.55,1.25,10.44,24,0.0,286,0.19,0.82,0,78,voice_heavy,voice_pack|cross_sell_addon,prepaid,22773,13.36
Seg-4708,Champions — ZeroD-MediumV (Upsell),upsell,increase_arpu,Champions,Zero,medium,Declining,Strong Growth,Upsell,Small data pack,Voice Improving,Usage growing,26241,5.16,2.6,16.37,135403.56,13540.36,121863.2,1.11,4.22,27,0.0,105,0.17,0.84,0,33,monthly_combo,combo_pack|retention_pack,prepaid,26241,5.16
Seg-3777,Champions — Voice Heavy (Upsell),upsell,increase_arpu,Champions,low,high,Declining,Strong Growth,Upsell,Data starter pack,Voice Driven Growth,"Voice strong, data gap",27324,10.66,5.76,29.75,291273.84,62213.83,229060.01,0.97,10.99,31,3.2,194,0.07,0.97,8,44,voice_heavy,voice_pack|cross_sell_addon,prepaid,27324,10.66
Seg-3826,Champions — Voice Heavy (Upsell),upsell,increase_arpu,Champions,low,very_high,Declining,Strong Growth,Upsell,Data starter pack,Voice Dominant,"Voice strong, data gap",24298,17.1,8.21,48.31,415495.8,61762.89,353732.91,1.0,15.59,30,2.74,293,0.07,0.89,1,49,voice_heavy,voice_pack|cross_sell_addon,prepaid,24298,17.1
