RFM_Segment,data_usage_segment,voice_usage_segment,data_usage_trend,voice_usage_trend,Customer Signal,Customer Meaning,segment,Opportunity,NBO_Action,Subs,TR,DR,VR
About to Sleep,low,low,Declining,Declining,Low Engagement Dual Decline,Low data and voice customer fading across both services,High Churn Risk,Retention,Basic bundle rescue,,,,
About to Sleep,low,low,Declining,Dormant,Fading Entry User,Low-engagement user slipping toward inactivity,Dormancy Risk,Activation,Starter reactivation,,,,
About to Sleep,low,low,Declining,Early Recovery,Early Dual Recovery,Weak customer showing first comeback signs,Recovery Potential,Nurture,Light recovery bundle,,,,
About to Sleep,low,low,Declining,Strong Growth,Low User Awakening,Strong rebound from weak multi-service base,Growth Opportunity,Upsell,Starter growth pack,,,,
About to Sleep,low,low,Declining,Gradual Growth,Slow Dual Improvement,Gradual improvement from weak base,Nurture Opportunity,Nurture,Gradual bundle nurture,,,,
About to Sleep,low,low,Declining,Rapid Expansion,Rapid Entry Rebound,Sudden surge from low engagement,Emerging Opportunity,Aggressive Win-Back,Quick-start combo,,,,
About to Sleep,low,low,Declining,no_trend,Stable Weakening User,Low dual-service user steadily weakening,Retention Risk,Retention,Protect entry base,,,,
About to Sleep,low,low,Dormant,Declining,Weak User Shutdown,Low-value customer approaching inactivity,Severe Dormancy,Activation,Wake dormant basic,,,,
About to Sleep,low,low,Dormant,Dormant,Fully Dormant Entry User,Low-engagement customer inactive,Maximum Dormancy,Win-Back,Starter wake-up,,,,
About to Sleep,low,low,Dormant,Early Recovery,Dormant Entry Recovery,Dormant customer beginning to re-engage,Recovery Opportunity,Nurture,Re-entry nurture,,,,
About to Sleep,low,low,Dormant,Strong Growth,Strong Entry Comeback,Weak customer rapidly recovering,Growth Segment,Upsell,Starter comeback boost,,,,
About to Sleep,low,low,Dormant,Gradual Growth,Gradual Entry Recovery,Slow but positive comeback,Recovery Potential,Nurture,Gentle reactivation,,,,
About to Sleep,low,low,Dormant,Rapid Expansion,Explosive Entry Rebirth,Rapid revival from dormancy,Emerging User,Aggressive Win-Back,Turbo starter relaunch,,,,
About to Sleep,low,low,Dormant,no_trend,Stable Dormant Entry,Inactive low-engagement user,Dormant Segment,Activation,Reactivation lite,,,,
About to Sleep,low,low,Early Recovery,Declining,Fragile Entry Recovery,Recovery signs but instability remains,Recovery Risk,Retention,Protect weak recovery,,,,
About to Sleep,low,low,Early Recovery,Dormant,Mixed Entry Recovery,Recovery mixed with inactivity,Mixed Opportunity,Nurture,Cross-service starter,,,,
About to Sleep,low,low,Early Recovery,Early Recovery,Balanced Entry Recovery,Both services showing weak but positive return,Recovery Opportunity,Nurture,Starter balance nurture,,,,
About to Sleep,low,low,Early Recovery,Strong Growth,Accelerated Entry Growth,Recovery quickly strengthening,Growth Potential,Upsell,Bundle booster,,,,
About to Sleep,low,low,Early Recovery,Gradual Growth,Steady Entry Recovery,Slow healthy growth path,Nurture Opportunity,Nurture,Steady starter ladder,,,,
About to Sleep,low,low,Early Recovery,Rapid Expansion,Fast Entry Activation,Rapid growth from recovering state,Emerging Opportunity,Aggressive Win-Back,Fast-track starter,,,,
About to Sleep,low,low,Early Recovery,no_trend,Stable Entry Recovery,Recovered and stabilized,Retention Opportunity,Nurture,Recovery maintain lite,,,,
About to Sleep,low,low,Strong Growth,Declining,Strong Entry Momentum at Risk,Strong comeback with warning signs,Retention Threat,Retention,Momentum shield starter,,,,
About to Sleep,low,low,Strong Growth,Dormant,Interrupted Entry Growth,Growth disrupted by inactivity,Recovery Risk,Activation,Restart bundle,,,,
About to Sleep,low,low,Strong Growth,Early Recovery,Recovery-Led Entry Builder,Strong growth supported by recovery,Emerging Segment,Upsell,Builder starter,,,,
About to Sleep,low,low,Strong Growth,Strong Growth,Full Entry User Transformation,Weak customer transforming strongly,High Potential Segment,User Growth,Transformation basic,,,,
About to Sleep,low,low,Strong Growth,Gradual Growth,Sustainable Entry Expansion,Strong growth becoming stable,Growth Opportunity,Loyalty Growth,Sustain starter,,,,
About to Sleep,low,low,Strong Growth,Rapid Expansion,Explosive Entry Growth,Major growth from weak base,Top Opportunity,Maximum Growth,Infinity starter,,,,
About to Sleep,low,low,Strong Growth,no_trend,Stable Strong Entry User,Strong growth stabilized,Loyalty Potential,Loyalty Growth,Growth lock starter,,,,
About to Sleep,low,low,Gradual Growth,Declining,Slow Builder at Risk,Gradual user weakening,Retention Risk,Retention,Builder protect lite,,,,
About to Sleep,low,low,Gradual Growth,Dormant,Gradual Entry Stall,Slow growth fading,Dormant Risk,Activation,Restart builder lite,,,,
About to Sleep,low,low,Gradual Growth,Early Recovery,Healthy Entry Builder,Gradual growth supported by recovery,Nurture Potential,Nurture,Builder nurture lite,,,,
About to Sleep,low,low,Gradual Growth,Strong Growth,Accelerating Entry Builder,Gradual user accelerating,Growth Opportunity,Upsell,Builder acceleration lite,,,,
About to Sleep,low,low,Gradual Growth,Gradual Growth,Consistent Entry Builder,Balanced steady improvement,Growth Segment,Loyalty Growth,Consistency starter,,,,
About to Sleep,low,low,Gradual Growth,Rapid Expansion,Breakout Entry Builder,Gradual customer suddenly surging,Future Opportunity,Aggressive Win-Back,Breakout combo,,,,
About to Sleep,low,low,Gradual Growth,no_trend,Stable Entry Builder,Steady but limited growth,Nurture Opportunity,Nurture,Builder sustain lite,,,,
About to Sleep,low,low,Rapid Expansion,Declining,Rapid Entry Surge at Risk,Fast growth but unstable,Retention Threat,Retention,Expansion shield basic,,,,
About to Sleep,low,low,Rapid Expansion,Dormant,Boom-to-Dormant Entry User,Rapid rise followed by inactivity,Drop-Off Risk,Activation,Reignite combo,,,,
About to Sleep,low,low,Rapid Expansion,Early Recovery,Rapid Entry Recovery Engine,Fast growth with recovery,High Opportunity,Upsell,Turbo starter,,,,
About to Sleep,low,low,Rapid Expansion,Strong Growth,Power Entry Return,Exceptional rebound from low base,Top Growth Segment,Maximum Growth,Power combo,,,,
About to Sleep,low,low,Rapid Expansion,Gradual Growth,Sustained Entry Momentum,Rapid growth stabilizing,Future Loyal User,Loyalty Growth,Sustain combo,,,,
About to Sleep,low,low,Rapid Expansion,Rapid Expansion,Complete Entry Rebirth,Maximum transformation from weak state,Best Opportunity,User Maximization,Rebirth basic,,,,
About to Sleep,low,low,Rapid Expansion,no_trend,Stable Entry Expansion,Fast growth stabilized,Retention + Growth,Loyalty Growth,Expansion lock lite,,,,
About to Sleep,low,low,no_trend,Declining,Stable Entry Weakening,Stable but weakening low-engagement user,Retention Risk,Retention,Reminder starter,,,,
About to Sleep,low,low,no_trend,Dormant,Stable Dormant Entry User,Stable user becoming inactive,Dormant Threat,Activation,Wake starter,,,,
About to Sleep,low,low,no_trend,Early Recovery,Stable Entry Recovery Spark,Stable user showing comeback,Recovery Opportunity,Nurture,Spark lite,,,,
About to Sleep,low,low,no_trend,Strong Growth,Stable to Strong Entry Shift,Stable user accelerating,Growth Potential,Upsell,Booster basic,,,,
About to Sleep,low,low,no_trend,Gradual Growth,Stable Gradual Entry Return,Slow healthy return,Nurture Opportunity,Nurture,Gradual starter path,,,,
About to Sleep,low,low,no_trend,Rapid Expansion,Stable Entry Breakout,Stable user rapidly rising,Emerging Opportunity,Aggressive Win-Back,Breakout starter,,,,
About to Sleep,low,low,no_trend,no_trend,Consistent Low Engagement User,Low data and voice user stable but fragile,Base Segment,Retention,Maintain basic user,,,,
